No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
713,Zoomo,Sydney,Unknown,Australia,Oceana,65,04-10-2022,16,406,341,Transportation,Series B,105,2022
714,Built In,Chicago,Illinois,USA,North America,50,05-10-2022,25,200,150,HR,Series C,29,2022
715,Crypto.com,Singapore,Unknown,Singapore,Asia,2000,06-10-2022,30,6667,4667,Crypto,Unknown,156,2022
716,Impossible Foods,Redwood City,California,USA,North America,50,06-10-2022,6,833,783,Food,Series H,1900,2022
717,Peloton,New York City,New York,USA,North America,500,06-10-2022,12,4167,3667,Fitness,Post-IPO,1900,2022
718,BioMarin,San Rafael,California,USA,North America,120,07-10-2022,4,3000,2880,Healthcare,Post-IPO,585,2022
719,Momentive,San Mateo,California,USA,North America,180,10-10-2022,11,1636,1456,Marketing,Post-IPO,1100,2022
720,Pavilion Data,San Jose,California,USA,North America,96,10-10-2022,96,100,4,Infrastructure,Series D,103,2022
721,Redesign Health,New York City,New York,USA,North America,67,10-10-2022,20,335,268,Healthcare,Series C,315,2022
722,Brex,San Francisco,California,USA,North America,136,11-10-2022,11,1236,1100,Finance,Series D,1500,2022
723,Linkfire,Copenhagen,Unknown,Denmark,Europe,35,11-10-2022,35,100,65,Marketing,Seed,2,2022
724,Noom,New York City,New York,USA,North America,500,11-10-2022,10,5000,4500,Healthcare,Series F,657,2022
725,Pacaso,San Francisco,California,USA,North America,100,11-10-2022,30,333,233,Real Estate,Series C,217,2022
726,Udacity,Mountain View,California,USA,North America,55,11-10-2022,13,423,368,Education,Unknown,235,2022
727,6sense,San Francisco,California,USA,North America,150,12-10-2022,10,1500,1350,Sales,Series E,426,2022
728,Byju's,Bengaluru,Unknown,India,Asia,2500,12-10-2022,5,50000,47500,Education,Private Equity,Null,2022
729,FrontRow,Bengaluru,Unknown,India,Asia,130,12-10-2022,75,173,43,Education,Series A,17,2022
730,Playdots,New York City,New York,USA,North America,65,13-10-2022,100,65,0,Consumer,Acquired,10,2022
731,Beyond Meat,Los Angeles,California,USA,North America,200,14-10-2022,19,1053,853,Food,Post-IPO,122,2022
732,Flipboard,Palo Alto,California,USA,North America,24,16-10-2022,21,114,90,Media,Unknown,235,2022
733,Faire,San Francisco,California,USA,North America,84,18-10-2022,7,1200,1116,Retail,Series G,1700,2022
734,Leafly,Seattle,Washington,USA,North America,56,18-10-2022,21,267,211,Retail,Post-IPO,71,2022
735,AtoB,San Francisco,California,USA,North America,32,19-10-2022,30,107,75,Finance,Series B,177,2022
737,InfoSum,London,Unknown,UK,Europe,20,19-10-2022,12,167,147,Security,Series B,88,2022
738,Hotmart,Belo Horizonte,Unknown,Brazil,South America,227,20-10-2022,12,1892,1665,Marketing,Series C,127,2022
739,Loom,San Francisco,California,USA,North America,23,20-10-2022,11,209,186,Product,Series C,203,2022
740,Zeus Living,San Francisco,California,USA,North America,64,20-10-2022,46,139,75,Real Estate,Series C,151,2022
741,Elinvar,Berlin,Berlin,Germany,Europe,43,21-10-2022,33,130,87,Finance,Unknown,30,2022
742,Khoros,Austin,Texas,USA,North America,120,21-10-2022,10,1200,1080,Sales,Private Equity,138,2022
743,Synapsica,New Delhi,Unknown,India,Asia,30,21-10-2022,30,100,70,Healthcare,Series A,4,2022
744,Antidote Health,Tel Aviv,Unknown,Israel,Asia,23,23-10-2022,38,61,38,Healthcare,Unknown,36,2022
745,OrCam,Jerusalem,Unknown,Israel,Asia,62,23-10-2022,16,388,326,Healthcare,Unknown,86,2022
746,Cerebral,Walnut,California,USA,North America,400,24-10-2022,20,2000,1600,Healthcare,Series C,462,2022
747,Snyk,Boston,Massachusetts,USA,North America,198,24-10-2022,14,1414,1216,Security,Series F,849,2022
748,Unico,Sao Paulo,Unknown,Brazil,South America,50,24-10-2022,4,1250,1200,Other,Series D,336,2022
749,Embroker,San Francisco,California,USA,North America,30,25-10-2022,12,250,220,Finance,Series C,142,2022
750,Fundbox,San Francisco,California,USA,North America,150,25-10-2022,42,357,207,Finance,Series D,553,2022
751,Vee,Tel Aviv,Unknown,Israel,Asia,17,25-10-2022,50,34,17,HR,Seed,15,2022
753,Cybereason,Boston,Massachusetts,USA,North America,200,26-10-2022,17,1176,976,Security,Series F,750,2022
754,MindBody,San Luis Obispo,California,USA,North America,400,26-10-2022,15,2667,2267,Fitness,Post-IPO,114,2022
755,Zillow,Seattle,Washington,USA,North America,300,26-10-2022,5,6000,5700,Real Estate,Post-IPO,97,2022
756,Recharge,Los Angeles,California,USA,North America,84,27-10-2022,17,494,410,Finance,Series B,277,2022
757,RenoRun,Montreal,Unknown,Canada,North America,210,27-10-2022,43,488,278,Construction,Series B,163,2022
758,Amazon,Seattle,Washington,USA,North America,150,28-10-2022,0,333483,333333,Retail,Post-IPO,108,2022
759,Fifth Season,Pittsburgh,Pennsylvania,USA,North America,100,28-10-2022,100,100,0,Food,Series B,35,2022
760,Equitybee,Palo Alto,California,USA,North America,25,31-10-2022,20,125,100,Finance,Series B,85,2022
761,EquityZen,New York City,New York,USA,North America,30,31-10-2022,27,111,81,Finance,Series B,11,2022
762,Kry,Stockholm,Unknown,Sweden,Europe,300,31-10-2022,10,3000,2700,Healthcare,Series D,568,2022
763,Gem,San Francisco,California,USA,North America,100,01-11-2022,33,303,203,HR,Series C,148,2022
764,Hootsuite,Vancouver,Unknown,Canada,North America,50,01-11-2022,5,1000,950,Marketing,Series C,300,2022
765,Oda,Oslo,Unknown,Norway,Europe,70,01-11-2022,18,389,319,Food,Unknown,377,2022
766,Upstart,San Mateo,California,USA,North America,140,01-11-2022,7,2000,1860,Finance,Post-IPO,144,2022
767,Chargebee,North Bethesda,California,USA,North America,142,02-11-2022,10,1420,1278,Finance,Series H,468,2022
768,Checkmarx,Tel Aviv,Unknown,Israel,Asia,100,02-11-2022,10,1000,900,Security,Series C,92,2022
769,Chime,San Francisco,California,USA,North America,156,02-11-2022,12,1300,1144,Finance,Series G,2300,2022
770,Dapper Labs,Vancouver,Unknown,Canada,North America,134,02-11-2022,22,609,475,Crypto,Series D,607,2022
771,Iron Ox,Gilroy,California,USA,North America,50,02-11-2022,50,100,50,Food,Series C,103,2022
772,Opendoor,San Francisco,California,USA,North America,550,02-11-2022,18,3056,2506,Real Estate,Post-IPO,Null,2022
773,Smava,Berlin,Berlin,Germany,Europe,100,02-11-2022,15,667,567,Finance,Unknown,188,2022
775,Lyft,San Francisco,California,USA,North America,700,03-11-2022,13,5385,4685,Transportation,Post-IPO,4900,2022
776,Pleo,Copenhagen,Unknown,Denmark,Europe,150,03-11-2022,15,1000,850,Finance,Series C,428,2022
777,Shippo,San Francisco,California,USA,North America,60,03-11-2022,20,300,240,Logistics,Series E,154,2022
778,Stripe,San Francisco,California,USA,North America,1000,03-11-2022,14,7143,6143,Finance,Series H,2300,2022
779,Exodus,Nebraska City,Nebraska,USA,North America,59,04-11-2022,22,268,209,Crypto,Unknown,60,2022
780,KoinWorks,Jakarta,Unknown,Indonesia,Asia,70,04-11-2022,8,875,805,Finance,Unknown,180,2022
781,Planetly,Berlin,Berlin,Germany,Europe,200,04-11-2022,100,200,0,Other,Acquired,5,2022
782,Twitter,San Francisco,California,USA,North America,3700,04-11-2022,50,7400,3700,Consumer,Post-IPO,12900,2022
783,Varonis,New York City,New York,USA,North America,110,06-11-2022,5,2200,2090,Security,Post-IPO,30,2022
784,Dock,Sao Paulo,Unknown,Brazil,South America,190,07-11-2022,12,1583,1393,Finance,Private Equity,280,2022
785,SaleSan Francisco Bay Areaorce,San Francisco,California,USA,North America,1000,07-11-2022,1,100000,99000,Sales,Post-IPO,65,2022
786,Unacademy,Bengaluru,Unknown,India,Asia,350,07-11-2022,10,3500,3150,Education,Series H,838,2022
787,Zendesk,San Francisco,California,USA,North America,350,07-11-2022,5,7000,6650,Support,Acquired,85,2022
788,Repertoire Immunity,Boston,Massachusetts,USA,North America,65,08-11-2022,50,130,65,Healthcare,Series B,257,2022
789,AvantStay,Los Angeles,California,USA,North America,144,09-11-2022,22,655,511,Travel,Private Equity,686,2022
790,Flyhomes,Seattle,Washington,USA,North America,300,09-11-2022,40,750,450,Real Estate,Series C,310,2022
791,Kabam,San Francisco,California,USA,North America,35,09-11-2022,7,500,465,Consumer,Acquired,244,2022
792,Liftoff,Redwood City,California,USA,North America,130,09-11-2022,15,867,737,Marketing,Acquired,6,2022
793,Meta,Menlo Park,California,USA,North America,11000,09-11-2022,13,84615,73615,Consumer,Post-IPO,26000,2022
794,Namogoo,Tel Aviv,Unknown,Israel,Asia,25,09-11-2022,15,167,142,Marketing,Series C,69,2022
795,Plum,Bengaluru,Unknown,India,Asia,36,09-11-2022,10,360,324,Healthcare,Series A,20,2022
796,Redfin,Seattle,Washington,USA,North America,862,09-11-2022,13,6631,5769,Real Estate,Post-IPO,320,2022
797,Root Insurance,Columbus,Ohio,USA,North America,137,09-11-2022,20,685,548,Finance,Post-IPO,527,2022
798,Blend,San Francisco,California,USA,North America,100,10-11-2022,6,1667,1567,Finance,Post-IPO,665,2022
799,GoTo Group,Jakarta,Unknown,Indonesia,Asia,1300,10-11-2022,12,10833,9533,Transportation,Post-IPO,1300,2022
800,InfluxData,San Francisco,California,USA,North America,65,10-11-2022,27,241,176,Data,Series D,119,2022
801,Juul,San Francisco,California,USA,North America,400,10-11-2022,30,1333,933,Consumer,Unknown,1500,2022
802,Ocavu,Lehi,Utah,USA,North America,20,10-11-2022,48,42,22,Crypto,Series A,11,2022
803,SoundHound,Santa Clara,California,USA,North America,45,10-11-2022,10,450,405,Other,Post-IPO,326,2022
804,Forto,Berlin,Berlin,Germany,Europe,60,11-11-2022,8,750,690,Logistics,Series D,593,2022
805,Veev,Hayward,California,USA,North America,100,11-11-2022,30,333,233,Real Estate,Series D,597,2022
806,Cloudinary,Santa Clara,California,USA,North America,40,14-11-2022,8,500,460,Media,Unknown,100,2022
807,iFit,Logan,Utah,USA,North America,300,14-11-2022,20,1500,1200,Fitness,Private Equity,200,2022
808,Illumina,San Diego,California,USA,North America,500,14-11-2022,5,10000,9500,Healthcare,Post-IPO,28,2022
809,Intercom,San Francisco,California,USA,North America,124,14-11-2022,13,954,830,Support,Series D,240,2022
810,Pipedrive,Tallinn,Unknown,Estonia,Europe,143,14-11-2022,15,953,810,Sales,Private Equity,90,2022
811,Ribbon,New York City,New York,USA,North America,170,14-11-2022,85,200,30,Real Estate,Series C,405,2022
812,Asana,San Francisco,California,USA,North America,180,15-11-2022,9,2000,1820,Other,Post-IPO,453,2022
813,CaptivateIQ,San Francisco,California,USA,North America,31,15-11-2022,10,310,279,Sales,Series C,164,2022
814,Deliveroo Australia,Melbourne,Unknown,Australia,Oceana,120,15-11-2022,100,120,0,Food,Post-IPO,Null,2022
815,Jimdo,Hamburg,Hamburg,Germany,Europe,50,15-11-2022,16,313,263,Other,Unknown,28,2022
816,OwnBackup,New York City,New York,USA,North America,170,15-11-2022,17,1000,830,Security,Series E,507,2022
817,UiPath,New York City,New York,USA,North America,241,15-11-2022,6,4017,3776,Data,Post-IPO,Null,2022
818,Amazon,Seattle,Washington,USA,North America,10000,16-11-2022,3,333333,323333,Retail,Post-IPO,108,2022
819,Cisco,San Jose,California,USA,North America,4100,16-11-2022,5,82000,77900,Infrastructure,Post-IPO,2,2022
820,Lokalise,Dover,Ohio,USA,North America,76,16-11-2022,23,330,254,Other,Series B,56,2022
821,Pear Therapeutics,Boston,Massachusetts,USA,North America,59,16-11-2022,22,268,209,Healthcare,Post-IPO,409,2022
822,Salsify,Boston,Massachusetts,USA,North America,90,16-11-2022,11,818,728,Retail,Series F,452,2022
823,Similarweb,New York City,New York,USA,North America,120,16-11-2022,10,1200,1080,Other,Post-IPO,235,2022
824,Twiga,Nairobi,Unknown,Kenya,Africa,211,16-11-2022,21,1005,794,Food,Series C,157,2022
825,Wayflyer,Dublin,Unknown,Ireland,Europe,200,16-11-2022,40,500,300,Marketing,Unknown,889,2022
826,Yotpo,New York City,New York,USA,North America,70,16-11-2022,9,778,708,Marketing,Unknown,436,2022
827,&Open,Dublin,Unknown,Ireland,Europe,9,17-11-2022,9,100,91,Marketing,Series A,35,2022
828,Capitolis,New York City,New York,USA,North America,37,17-11-2022,25,148,111,Finance,Series D,281,2022
829,Juni,Gothenburg,Unknown,Sweden,Europe,72,17-11-2022,33,218,146,Finance,Unknown,281,2022
830,Koho,Toronto,Unknown,Canada,North America,15,17-11-2022,4,375,360,Finance,Series D,278,2022
831,Roku,San Jose,California,USA,North America,200,17-11-2022,7,2857,2657,Media,Post-IPO,208,2022
832,TealBook,Toronto,Unknown,Canada,North America,34,17-11-2022,19,179,145,Other,Series B,73,2022
833,Carvana,Phoenix,Arizona,USA,North America,1500,18-11-2022,8,18750,17250,Transportation,Post-IPO,1600,2022
834,Nuro,Mountain View,California,USA,North America,300,18-11-2022,20,1500,1200,Transportation,Series D,2100,2022
835,Synthego,Menlo Park,California,USA,North America,105,18-11-2022,20,525,420,Healthcare,Series E,459,2022
836,Zomato,Gurugram,Unknown,India,Asia,100,19-11-2022,4,2500,2400,Food,Series J,914,2022
837,Jumia,Lagos,Unknown,Nigeria,Africa,900,21-11-2022,20,4500,3600,Retail,Post-IPO,Null,2022
838,Kitopi,Dubai,Unknown,United Arabian Emirates,Asia,93,21-11-2022,10,930,837,Food,Series C,804,2022
839,SIRCLO,Jakarta,Unknown,Indonesia,Asia,160,22-11-2022,8,2000,1840,Retail,Series B,92,2022
840,Trax,Singapore,Unknown,Singapore,Asia,80,22-11-2022,8,1000,920,Retail,Series E,1000,2022
841,Lemon,Buenos Aires,Unknown,Argentina,South America,100,24-11-2022,38,263,163,Crypto,Series A,17,2022
842,Quidax,Lagos,Unknown,Nigeria,Africa,20,24-11-2022,20,100,80,Crypto,Unknown,3,2022
843,Carwow,London,Unknown,UK,Europe,70,25-11-2022,20,350,280,Transportation,Unknown,157,2022
844,Vendease,Lagos,Unknown,Nigeria,Africa,27,25-11-2022,9,300,273,Food,Series A,43,2022
845,VerSe Innovation,Bengaluru,Unknown,India,Asia,150,25-11-2022,5,3000,2850,Media,Series J,1700,2022
846,Ajaib,Jakarta,Unknown,Indonesia,Asia,67,28-11-2022,8,838,771,Finance,Unknown,245,2022
847,ApplyBoard,Waterloo,Unknown,Canada,North America,90,28-11-2022,6,1500,1410,Education,Series D,483,2022
848,Candy Digital,New York City,New York,USA,North America,33,28-11-2022,33,100,67,Crypto,Series A,100,2022
849,Infarm,Berlin,Berlin,Germany,Europe,500,28-11-2022,50,1000,500,Other,Series D,604,2022
850,ResearchGate,Berlin,Berlin,Germany,Europe,25,28-11-2022,10,250,225,Other,Series D,87,2022
851,Wildlife Studios,Sao Paulo,Unknown,Brazil,South America,300,28-11-2022,20,1500,1200,Consumer,Unknown,260,2022
852,CoinJar,Melbourne,Unknown,Australia,Oceana,10,29-11-2022,20,50,40,Crypto,Unknown,1,2022
853,Lyst,London,Unknown,UK,Europe,50,29-11-2022,25,200,150,Retail,Unknown,144,2022
854,DoorDash,San Francisco,California,USA,North America,1250,30-11-2022,6,20833,19583,Food,Post-IPO,2500,2022
855,Grin,Sacramento,California,USA,North America,60,30-11-2022,13,462,402,Marketing,Series B,145,2022
856,Happy Money,Los Angeles,California,USA,North America,158,30-11-2022,34,465,307,Finance,Series D,191,2022
857,Kraken,San Francisco,California,USA,North America,1100,30-11-2022,30,3667,2567,Crypto,Unknown,134,2022
858,Teachmint,Bengaluru,Unknown,India,Asia,45,30-11-2022,5,900,855,Education,Series B,118,2022
859,Thread,London,Unknown,UK,Europe,30,30-11-2022,50,60,30,Retail,Acquired,40,2022
860,Ualá,Buenos Aires,Unknown,Argentina,South America,53,30-11-2022,3,1767,1714,Finance,Series D,544,2022
861,Ula,Jakarta,Unknown,Indonesia,Asia,134,30-11-2022,23,583,449,Retail,Series B,140,2022
862,Wonder,New York City,New York,USA,North America,130,30-11-2022,7,1857,1727,Food,Series B,850,2022
863,Bizzabo,New York City,New York,USA,North America,100,01-12-2022,37,270,170,Marketing,Series E,194,2022
864,Carousell,Singapore,Unknown,Singapore,Asia,110,01-12-2022,10,1100,990,Retail,Private Equity,372,2022
865,Netlify,San Francisco,California,USA,North America,48,01-12-2022,16,300,252,Product,Series D,212,2022
866,Springbig,Miami,Florida,USA,North America,37,01-12-2022,23,161,124,Sales,Post-IPO,32,2022
867,Polly,Burlington,Vermont,USA,North America,47,02-12-2022,15,313,266,Finance,Series C,184,2022
868,Aqua Security,Boston,Massachusetts,USA,North America,65,05-12-2022,10,650,585,Security,Series E,265,2022
869,DataRails,Tel Aviv,Unknown,Israel,Asia,30,05-12-2022,18,167,137,Finance,Series B,103,2022
870,Bridgit,Waterloo,Unknown,Canada,North America,13,06-12-2022,13,100,87,Construction,Series B,36,2022
871,BuzzFeed,New York City,New York,USA,North America,180,06-12-2022,12,1500,1320,Media,Post-IPO,696,2022
872,Chipper Cash,San Francisco,California,USA,North America,50,06-12-2022,13,385,335,Finance,Series C,302,2022
873,Doma,Huntington Beach,California,USA,North America,515,06-12-2022,40,1288,773,Finance,Post-IPO,679,2022
874,Perimeter 81,Tel Aviv,Unknown,Israel,Asia,20,06-12-2022,8,250,230,Security,Series C,165,2022
875,Stash,New York City,New York,USA,North America,32,06-12-2022,8,400,368,Finance,Unknown,480,2022
876,Grover,Berlin,Berlin,Germany,Europe,40,07-12-2022,10,400,360,Retail,Unknown,Null,2022
877,Houzz,Palo Alto,California,USA,North America,95,07-12-2022,8,1188,1093,Consumer,Series E,613,2022
878,Integral Ad Science,New York City,New York,USA,North America,120,07-12-2022,13,923,803,Marketing,Acquired,116,2022
879,Lev,New York City,New York,USA,North America,30,07-12-2022,30,100,70,Real Estate,Series B,114,2022
880,Lithic,New York City,New York,USA,North America,27,07-12-2022,18,150,123,Finance,Series C,115,2022
881,Loft,Sao Paulo,Unknown,Brazil,South America,312,07-12-2022,12,2600,2288,Real Estate,Unknown,788,2022
882,Motive,San Francisco,California,USA,North America,237,07-12-2022,6,3950,3713,Transportation,Series F,567,2022
883,Plaid,San Francisco,California,USA,North America,260,07-12-2022,20,1300,1040,Finance,Series D,734,2022
884,Relativity,Chicago,Illinois,USA,North America,150,07-12-2022,10,1500,1350,Legal,Private Equity,125,2022
885,Voi,Stockholm,Unknown,Sweden,Europe,130,07-12-2022,13,1000,870,Transportation,Series D,515,2022
886,Airtable,San Francisco,California,USA,North America,254,08-12-2022,20,1270,1016,Product,Series F,1400,2022
887,Armis,San Francisco,California,USA,North America,25,08-12-2022,4,625,600,Security,Private Equity,537,2022
888,BlackLine,Los Angeles,California,USA,North America,95,08-12-2022,5,1900,1805,Finance,Private Equity,220,2022
889,Buser,Sao Paulo,Unknown,Brazil,South America,160,08-12-2022,30,533,373,Transportation,Series C,138,2022
890,CyCognito,Palo Alto,California,USA,North America,30,08-12-2022,15,200,170,Security,Series C,153,2022
891,Glints,Singapore,Unknown,Singapore,Asia,198,08-12-2022,18,1100,902,HR,Series D,82,2022
892,Otonomo,Tel Aviv,Unknown,Israel,Asia,80,08-12-2022,50,160,80,Transportation,Post-IPO,231,2022
893,Swiggy,Bengaluru,Unknown,India,Asia,250,08-12-2022,3,8333,8083,Food,Unknown,Null,2022
894,TechTarget,Boston,Massachusetts,USA,North America,60,08-12-2022,5,1200,1140,Marketing,Post-IPO,115,2022
895,Alice,Sao Paulo,Unknown,Brazil,South America,113,09-12-2022,16,706,593,Healthcare,Series C,174,2022
